Year	CrID_1	CrID_2	CrID_3	CrID_3	CrID_4	CrID_4	CrID_5	CrID_6	CrID_7	
2021	0.166	0.346	0.166	0.346	0.351	0.346	0.133	0.200	0.221 
2022	0.167	0.346	0.167	0.346	0.351	0.346	0.133	0.201	0.222 
