Var	CrID_1	CrID_2	CrID_2	CrID_3 
Irrig	1	0	1	0	
CNclass	2	3	2	2	
pRAW	0.500	0.500	0.500	0.000	
aInt	0.600	0.600	0.600	0.000	
Tlim	40.000	31.000	40.000	0.000	
Tcrit	32.000	27.000	32.000	0.000	
HI	0.450	0.450	0.950	0.000	
kyT	1.250	1.050	1.250	0.000	
ky1	0.400	0.200	0.400	0.000	
ky2	0.900	0.600	0.900	0.000	
ky3	1.500	0.750	1.500	0.000	
ky4	0.500	0.500	0.500	0.000	
RFt	1.000	1.000	1.000	1.000	
